pid,labels
4338,"271,276,0"
3890,"10,23,44"
522,"135,38,74"
5505,"10,44,23"
8363,"170,39,135"
15373,"235,8,270"
16864,"10,11,23"
4365,"3,30,111"
20236,"34,187,200"
15018,"23,38,67"
28851,"28,5,6"
28219,"395,404,26"
24049,"130,76,128"
742,"137,95,38"
13898,"159,76,40"
17700,"3,15,34"
16434,"220,10,23"
29081,"49,23,38"
17194,"26,23,38"
15499,"21,200,33"
995,"226,131,76"
17301,"21,3,30"
19571,"200,169,55"
18107,"271,249,265"
28571,"40,31,24"
3390,"21,3,28"
17718,"32,31,31"
28657,"3,11,14"
10947,"169,296,303"
20536,"141,118,404"
28845,"21,33,135"
5123,"135,76,31"
5313,"7,4,8"
25981,"76,152,201"
3964,"44,10,20"
22682,"200,3,17"
13864,"135,32,31"
18007,"396,76,130"
17730,"226,131,76"
25900,"406,131,280"
20547,"201,76,135"
6825,"31,258,420"
12656,"38,3,40"
16943,"10,44,40"
10914,"10,44,23"
3895,"271,254,0"
27907,"54,23,3"
5090,"26,38,40"
18095,"10,42,54"
29280,"3,15,21"
10701,"162,76,20"
21169,"32,31,60"
19003,"226,76,40"
4457,"44,64,10"
28305,"30,28,51"
28184,"31,31,31"
10008,"21,199,176"
6595,"26,38,89"
21940,"0,211,216"
14827,"10,211,21"
26386,"31,245,256"
5923,"7,4,19"
13070,"10,44,21"
23488,"3,15,200"
14746,"3,21,56"
21781,"105,50,26"
25963,"249,279,0"
8318,"21,51,200"
8291,"0,179,223"
1027,"21,20,200"
13560,"120,10,23"
7157,"26,23,89"
9864,"420,258,31"
23922,"160,165,318"
6346,"26,38,89"
3410,"169,243,28"
14448,"200,30,66"
23458,"1,277,169"
4429,"256,271,249"
1714,"10,44,20"
25668,"220,10,23"
8945,"43,23,24"
7159,"151,160,201"
4650,"10,38,23"
24369,"220,54,10"
25627,"417,169,39"
19985,"169,28,40"
14063,"39,281,40"
5474,"169,199,440"
72,"27,0,281"
18147,"220,10,1"
27482,"213,271,252"
18952,"10,44,23"
16743,"3,4,28"
8582,"200,139,153"
23940,"160,131,76"
26677,"89,27,0"
1947,"169,0,1"
1408,"8,401,21"
12211,"160,149,140"
8278,"111,21,28"
25656,"4,19,3"
6826,"508,85,74"
20811,"514,23,38"
27881,"169,135,440"
21086,"38,71,1"
13801,"10,11,12"
28226,"3,200,5"
7025,"8,243,26"
23991,"74,39,181"
9179,"10,44,23"
1660,"169,200,15"
11919,"23,24,38"
13180,"39,76,74"
5677,"49,23,43"
7398,"139,160,248"
10738,"83,54,113"
23288,"220,100,21"
29284,"169,297,296"
20132,"131,226,290"
7437,"42,130,76"
2029,"169,171,38"
7095,"179,274,0"
23190,"31,12,66"
21521,"18,17,21"
10153,"131,76,226"
6702,"8,206,0"
27661,"3,33,28"
4934,"528,411,296"
25410,"34,187,200"
22303,"30,3,200"
7603,"30,3,200"
19463,"4,111,28"
18178,"10,11,44"
27175,"38,23,74"
16993,"21,30,200"
4743,"411,410,370"
25211,"49,23,38"
22054,"0,223,271"
6389,"23,400,420"
13901,"131,76,40"
14152,"3,21,56"
21008,"0,271,213"
5638,"7,4,28"
21485,"194,38,26"
11487,"8,9,270"
26067,"10,44,24"
28748,"23,38,49"
9569,"30,111,21"
963,"40,19,28"
16227,"150,13,3"
28347,"300,524,200"
22438,"11,10,23"
14395,"18,21,17"
25554,"171,135,76"
28507,"38,64,75"
18715,"74,38,23"
26780,"3,21,200"
17420,"76,40,149"
28904,"96,31,258"
23730,"10,23,254"
8887,"3,56,13"
14117,"23,43,10"
15553,"31,39,283"
4184,"139,202,160"
5800,"88,87,38"
11553,"169,171,199"
15295,"32,31,0"
29329,"40,76,128"
9254,"23,49,38"
10377,"23,10,45"
13635,"10,43,54"
5445,"370,370,370"
13348,"21,40,51"
25247,"518,23,10"
14269,"10,11,23"
2137,"3,28,4"
15725,"17,51,18"
22993,"31,259,401"
1693,"3,200,233"
11052,"23,24,43"
25496,"23,26,38"
19062,"23,60,4"
4744,"4,70,19"
10723,"26,288,271"
3935,"74,118,23"
11607,0
13780,"0,216,249"
13392,"2,1,277"
11482,"220,10,11"
14717,"169,169,169"
14986,"28,21,112"
22278,"169,169,289"
16802,"3,4,19"
21371,"218,0,213"
21757,"30,66,3"
28117,"23,38,40"
24755,"0,271,29"
16426,"496,500,507"
29218,"171,199,169"
1726,"32,31,1"
15139,"76,160,128"
988,"395,395,394"
1556,"169,23,40"
25311,"135,74,38"
22534,"105,106,318"
4864,"220,10,233"
16281,"23,24,10"
5080,"23,24,43"
16858,"169,276,275"
1122,"38,74,23"
7900,"3,15,70"
28015,"10,64,44"
27976,"26,38,23"
18168,"10,43,24"
15496,"169,40,69"
21062,"277,13,0"
811,"518,0,23"
